borough,zip_code,latitude,longitude,location,on_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,crash_datetime,hour,day_of_week,month,location_string,all_factors,vehicle_types
,,,,,BROADWAY,WEST 80 STREET -WEST 81 STREET,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4486634,Station Wagon/Sport Utility Vehicle,Sedan,,,,2021-12-14 08:30:00,8,Tuesday,12,BROADWAY_WEST 80 STREET -WEST 81 STREET,"['Unsafe Lane Changing', 'Unspecified']","['Station Wagon/Sport Utility Vehicle', 'Sedan']"
QUEENS,11434,40.59662,-74.00231,"(40.59662, -74.00231)",BELT PARKWAY,,0,0,0,0,0,0,0,0,Unsafe Speed,,,,,4486564,Sedan,,,,,2021-12-14 00:59:00,0,Tuesday,12,BELT PARKWAY,['Unsafe Speed'],['Sedan']
QUEENS,11434,40.66684,-73.78941,"(40.66684, -73.78941)",NORTH CONDUIT AVENUE,150 STREET,2,0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4486635,Sedan,Sedan,,,,2021-12-14 23:10:00,23,Tuesday,12,NORTH CONDUIT AVENUE_150 STREET,"['Reaction to Uninvolved Vehicle', 'Unspecified']","['Sedan', 'Sedan']"
BROOKLYN,11217,40.68158,-73.97463,"(40.68158, -73.97463)",,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4486604,Tanker,Station Wagon/Sport Utility Vehicle,,,,2021-12-14 17:58:00,17,Tuesday,12,480       DEAN STREET,"['Passing Too Closely', 'Unspecified']","['Tanker', 'Station Wagon/Sport Utility Vehicle']"
BROOKLYN,11226,40.65068,-73.95881,"(40.65068, -73.95881)",,,4,0,0,0,0,0,4,0,Steering Failure,,,,,4486991,Sedan,,,,,2021-12-14 20:03:00,20,Tuesday,12,878       FLATBUSH AVENUE,['Steering Failure'],['Sedan']
,,,,,MEEKER AVENUE,LORIMER STREET,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Unspecified,,,,4486284,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2021-12-14 01:28:00,1,Tuesday,12,MEEKER AVENUE_LORIMER STREET,"['Traffic Control Disregarded', 'Unspecified']","['Station Wagon/Sport Utility Vehicle', 'Station Wagon/Sport Utility Vehicle']"
BRONX,10463,40.87262,-73.904686,"(40.87262, -73.904686)",WEST KINGSBRIDGE ROAD,HEATH AVENUE,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4487040,Station Wagon/Sport Utility Vehicle,Sedan,,,,2021-12-11 19:43:00,19,Saturday,12,WEST KINGSBRIDGE ROAD_HEATH AVENUE,['Unspecified'],"['Station Wagon/Sport Utility Vehicle', 'Sedan']"
,,40.783268,-73.82485,"(40.783268, -73.82485)",WHITESTONE EXPRESSWAY,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,4486537,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,,2021-12-14 14:30:00,14,Tuesday,12,WHITESTONE EXPRESSWAY,"['Following Too Closely', 'Unspecified']","['Station Wagon/Sport Utility Vehicle', 'Sedan', 'Sedan']"
MANHATTAN,10001,40.748917,-73.993546,"(40.748917, -73.993546)",,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4486905,Station Wagon/Sport Utility Vehicle,,,,,2021-12-11 04:45:00,4,Saturday,12,232       WEST 30 STREET,"['Following Too Closely', 'Unspecified']",['Station Wagon/Sport Utility Vehicle']
,,40.744644,-73.77041,"(40.744644, -73.77041)",LONG ISLAND EXPRESSWAY,,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,,,,4487122,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2021-12-14 05:46:00,5,Tuesday,12,LONG ISLAND EXPRESSWAY,['Other Vehicular'],"['Station Wagon/Sport Utility Vehicle', 'Station Wagon/Sport Utility Vehicle']"
QUEENS,11372,40.75373,-73.88505,"(40.75373, -73.88505)",82 STREET,34 AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4486967,Sedan,,,,,2021-12-13 06:30:00,6,Monday,12,82 STREET_34 AVENUE,['Unspecified'],['Sedan']
,,40.804375,-73.93742,"(40.804375, -73.93742)",LEXINGTON AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,4486304,Station Wagon/Sport Utility Vehicle,,,,,2021-12-14 03:43:00,3,Tuesday,12,LEXINGTON AVENUE,['Unspecified'],['Station Wagon/Sport Utility Vehicle']
