borough,zip_code,latitude,longitude,location,on_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,crash_datetime,hour,day_of_week,month,location_string,all_factors,vehicle_types
QUEENS,11434,40.667236,-73.770004,"(40.667236, -73.770004)",BELT PARKWAY,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4407865,Station Wagon/Sport Utility Vehicle,Sedan,,,,2021-04-16 20:00:00,20,Friday,4,BELT PARKWAY,"['Passing or Lane Usage Improper', 'Unspecified']","['Station Wagon/Sport Utility Vehicle', 'Sedan']"
BRONX,10460,40.8351,-73.8825,"(40.8351, -73.8825)",,,0,0,0,0,0,0,0,0,Unspecified,,,,,4407154,Sedan,,,,,2021-04-14 06:13:00,6,Wednesday,4,1725      WEST FARMS ROAD,['Unspecified'],['Sedan']
BROOKLYN,11236,40.633682,-73.89868,"(40.633682, -73.89868)",AVENUE M,REMSEN AVENUE,1,0,1,0,0,0,0,0,Unspecified,,,,,4407637,Sedan,,,,,2021-04-15 14:41:00,14,Thursday,4,AVENUE M_REMSEN AVENUE,['Unspecified'],['Sedan']
BROOKLYN,11201,40.698116,-73.977325,"(40.698116, -73.977325)",,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4407354,Station Wagon/Sport Utility Vehicle,,,,,2021-04-14 11:54:00,11,Wednesday,4,21        FLUSHING AVENUE,['Failure to Yield Right-of-Way'],['Station Wagon/Sport Utility Vehicle']
,,40.84747,-73.89134,"(40.84747, -73.89134)",HUGHES AVENUE,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4407793,Station Wagon/Sport Utility Vehicle,Chassis Cab,,,,2021-04-16 11:50:00,11,Friday,4,HUGHES AVENUE,"['Reaction to Uninvolved Vehicle', 'Unspecified']","['Station Wagon/Sport Utility Vehicle', 'Chassis Cab']"
,,40.8047,-73.91243,"(40.8047, -73.91243)",BRUCKNER BOULEVARD,EAST 138 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4407432,Station Wagon/Sport Utility Vehicle,Van,,,,2021-04-14 14:00:00,14,Wednesday,4,BRUCKNER BOULEVARD_EAST 138 STREET,['Unspecified'],"['Station Wagon/Sport Utility Vehicle', 'Van']"
,,40.762676,-73.954346,"(40.762676, -73.954346)",FDR DRIVE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4407946,Sedan,Station Wagon/Sport Utility Vehicle,,,,2021-04-16 23:55:00,23,Friday,4,FDR DRIVE,"['Unsafe Lane Changing', 'Unspecified']","['Sedan', 'Station Wagon/Sport Utility Vehicle']"
QUEENS,11367,40.7158,-73.824486,"(40.7158, -73.824486)",UNION TURNPIKE,134 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4407852,Sedan,Box Truck,,,,2021-04-16 14:30:00,14,Friday,4,UNION TURNPIKE_134 STREET,"['Driver Inattention/Distraction', 'Unspecified']","['Sedan', 'Box Truck']"
MANHATTAN,10018,40.75584,-73.99238,"(40.75584, -73.99238)",,,0,0,0,0,0,0,0,0,Unspecified,,,,,4408249,Sedan,,,,,2021-04-15 23:00:00,23,Thursday,4,339       WEST 39 STREET,['Unspecified'],['Sedan']
BRONX,10475,40.875942,-73.83304,"(40.875942, -73.83304)",,,0,0,0,0,0,0,0,0,Unspecified,,,,,4456019,Sedan,,,,,2021-09-11 11:30:00,11,Saturday,9,120       DONIZETTI PLACE,['Unspecified'],['Sedan']
,,40.772102,-73.763954,"(40.772102, -73.763954)",CROSS ISLAND PARKWAY,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4407987,Sedan,Station Wagon/Sport Utility Vehicle,,,,2021-04-15 18:00:00,18,Thursday,4,CROSS ISLAND PARKWAY,"['Following Too Closely', 'Unspecified']","['Sedan', 'Station Wagon/Sport Utility Vehicle']"
BROOKLYN,11238,40.681602,-73.95855,"(40.681602, -73.95855)",,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4408215,Sedan,Station Wagon/Sport Utility Vehicle,,,,2021-04-14 20:19:00,20,Wednesday,4,557       CLASSON AVENUE,"['Driver Inexperience', 'Unspecified']","['Sedan', 'Station Wagon/Sport Utility Vehicle']"
BROOKLYN,11210,40.62677,-73.946884,"(40.62677, -73.946884)",AVENUE J,NOSTRAND AVENUE,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4408027,Sedan,Station Wagon/Sport Utility Vehicle,,,,2021-04-15 14:36:00,14,Thursday,4,AVENUE J_NOSTRAND AVENUE,"['Driver Inattention/Distraction', 'Unspecified']","['Sedan', 'Station Wagon/Sport Utility Vehicle']"
,,40.707493,-73.94153,"(40.707493, -73.94153)",MONTROSE AVENUE,,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,,,,4407389,Station Wagon/Sport Utility Vehicle,Dump,,,,2021-04-14 11:16:00,11,Wednesday,4,MONTROSE AVENUE,['Other Vehicular'],"['Station Wagon/Sport Utility Vehicle', 'Dump']"
,,40.8252,-73.867714,"(40.8252, -73.867714)",BRUCKNER BOULEVARD,ROSEDALE AVENUE,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4407562,Sedan,Sedan,,,,2021-04-15 10:00:00,10,Thursday,4,BRUCKNER BOULEVARD_ROSEDALE AVENUE,"['Passing or Lane Usage Improper', 'Unspecified']","['Sedan', 'Sedan']"
BRONX,10457,40.854115,-73.89091,"(40.854115, -73.89091)",EAST 183 STREET,3 AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4407794,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,,2021-04-12 21:30:00,21,Monday,4,EAST 183 STREET_3 AVENUE,"['Driver Inattention/Distraction', 'Unspecified']","['Sedan', 'Sedan', 'Station Wagon/Sport Utility Vehicle']"
QUEENS,11433,,,,ARCHER AVENUE,GUY R BREWER BLVD,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4407596,Station Wagon/Sport Utility Vehicle,Bus,,,,2021-04-15 14:06:00,14,Thursday,4,ARCHER AVENUE_GUY R BREWER BLVD,['Driver Inattention/Distraction'],"['Station Wagon/Sport Utility Vehicle', 'Bus']"
,,40.768875,-73.94898,"(40.768875, -73.94898)",FDR DRIVE,,1,0,0,0,0,0,1,0,Following Too Closely,Following Too Closely,Following Too Closely,Unspecified,,4407779,Sedan,Sedan,Sedan,Sedan,,2021-04-16 07:00:00,7,Friday,4,FDR DRIVE,"['Following Too Closely', 'Unspecified']","['Sedan', 'Sedan', 'Sedan', 'Sedan']"
BROOKLYN,11236,40.629707,-73.90486,"(40.629707, -73.90486)",EAST 80 STREET,PAERDEGAT 10 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4407997,Taxi,,,,,2021-04-16 15:21:00,15,Friday,4,EAST 80 STREET_PAERDEGAT 10 STREET,['Unspecified'],['Taxi']
QUEENS,11426,40.72654,-73.71589,"(40.72654, -73.71589)",JAMAICA AVENUE,249 STREET,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,,,4407408,Sedan,,,,,2021-04-15 00:40:00,0,Thursday,4,JAMAICA AVENUE_249 STREET,['Driver Inattention/Distraction'],['Sedan']
STATEN ISLAND,10301,40.634415,-74.08535,"(40.634415, -74.08535)",,,0,0,0,0,0,0,0,0,Unspecified,,,,,4408313,Sedan,,,,,2021-04-15 18:00:00,18,Thursday,4,323       VICTORY BOULEVARD,['Unspecified'],['Sedan']
,,40.889362,-73.83446,"(40.889362, -73.83446)",EAST 233 STREET,PRATT AVENUE,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4456486,Sedan,Sedan,,,,2021-09-11 16:30:00,16,Saturday,9,EAST 233 STREET_PRATT AVENUE,"['Failure to Yield Right-of-Way', 'Unspecified']","['Sedan', 'Sedan']"
,,40.66937,-73.89523,"(40.66937, -73.89523)",SUTTER AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Driver Inattention/Distraction,,,,4407747,Station Wagon/Sport Utility Vehicle,Sedan,,,,2021-04-15 08:40:00,8,Thursday,4,SUTTER AVENUE,"['Passing or Lane Usage Improper', 'Driver Inattention/Distraction']","['Station Wagon/Sport Utility Vehicle', 'Sedan']"
BRONX,10466,40.89466,-73.86137,"(40.89466, -73.86137)",EAST 233 STREET,BRONX BOULEVARD,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,View Obstructed/Limited,,,,4408402,Station Wagon/Sport Utility Vehicle,Sedan,,,,2021-04-16 17:25:00,17,Friday,4,EAST 233 STREET_BRONX BOULEVARD,"['Driver Inattention/Distraction', 'View Obstructed/Limited']","['Station Wagon/Sport Utility Vehicle', 'Sedan']"
BROOKLYN,11215,40.669067,-73.9878,"(40.669067, -73.9878)",,,0,0,0,0,0,0,0,0,Unspecified,,,,,4407702,Sedan,,,,,2021-04-16 06:40:00,6,Friday,4,341       10 STREET,['Unspecified'],['Sedan']
,,,,,WILLIAMSBURG BRIDGE OUTER ROADWA,,1,0,0,0,0,0,1,0,Following Too Closely,Following Too Closely,Unspecified,,,4407652,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,2021-04-15 14:00:00,14,Thursday,4,WILLIAMSBURG BRIDGE OUTER ROADWA,"['Following Too Closely', 'Unspecified']","['Station Wagon/Sport Utility Vehicle', 'Station Wagon/Sport Utility Vehicle', 'Station Wagon/Sport Utility Vehicle']"
QUEENS,11416,40.681484,-73.85049,"(40.681484, -73.85049)",102 ROAD,89 STREET,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,4407762,Sedan,Sedan,,,,2021-04-15 11:00:00,11,Thursday,4,102 ROAD_89 STREET,"['Failure to Yield Right-of-Way', 'Unspecified']","['Sedan', 'Sedan']"
BRONX,10473,40.82433,-73.874374,"(40.82433, -73.874374)",BRUCKNER BOULEVARD,STRATFORD AVENUE,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4407297,Station Wagon/Sport Utility Vehicle,Bus,,,,2021-04-14 09:31:00,9,Wednesday,4,BRUCKNER BOULEVARD_STRATFORD AVENUE,"['Passing Too Closely', 'Unspecified']","['Station Wagon/Sport Utility Vehicle', 'Bus']"
,,40.856606,-73.92841,"(40.856606, -73.92841)",WADSWORTH AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,4407321,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,2021-04-14 12:40:00,12,Wednesday,4,WADSWORTH AVENUE,"['Driver Inattention/Distraction', 'Unspecified']","['Station Wagon/Sport Utility Vehicle', 'Station Wagon/Sport Utility Vehicle', 'Sedan', 'Station Wagon/Sport Utility Vehicle']"
BROOKLYN,11212,40.65785,-73.91648,"(40.65785, -73.91648)",ROCKAWAY PARKWAY,WILLMOHR STREET,0,0,0,0,0,0,0,0,Unspecified,,,,,4408100,Sedan,,,,,2021-04-08 21:52:00,21,Thursday,4,ROCKAWAY PARKWAY_WILLMOHR STREET,['Unspecified'],['Sedan']
QUEENS,11434,40.62764,-73.89022,"(40.62764, -73.89022)",BELT PARKWAY,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4407505,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2021-04-14 08:58:00,8,Wednesday,4,BELT PARKWAY,"['Passing or Lane Usage Improper', 'Unspecified']","['Station Wagon/Sport Utility Vehicle', 'Station Wagon/Sport Utility Vehicle']"
QUEENS,11434,40.58401,-73.98587,"(40.58401, -73.98587)",BELT PARKWAY,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4408047,Sedan,Sedan,,,,2021-04-09 01:15:00,1,Friday,4,BELT PARKWAY,"['Following Too Closely', 'Unspecified']","['Sedan', 'Sedan']"
BROOKLYN,11211,40.71791,-73.95341,"(40.71791, -73.95341)",ROEBLING STREET,NORTH 10 STREET,1,0,1,0,0,0,0,0,Turning Improperly,,,,,4407805,Station Wagon/Sport Utility Vehicle,,,,,2021-04-14 17:30:00,17,Wednesday,4,ROEBLING STREET_NORTH 10 STREET,['Turning Improperly'],['Station Wagon/Sport Utility Vehicle']
,,40.780437,-73.94989,"(40.780437, -73.94989)",EAST 90 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4407697,Sedan,,,,,2021-04-15 00:00:00,0,Thursday,4,EAST 90 STREET,"['Driver Inattention/Distraction', 'Unspecified']",['Sedan']
QUEENS,11004,40.73973,-73.70625,"(40.73973, -73.70625)",263 STREET,83 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4407367,Sedan,,,,,2021-04-14 08:30:00,8,Wednesday,4,263 STREET_83 AVENUE,['Unspecified'],['Sedan']
MANHATTAN,10029,40.7952,-73.94623,"(40.7952, -73.94623)",,,3,0,0,0,0,0,3,0,Passing Too Closely,Unspecified,,,,4407837,Station Wagon/Sport Utility Vehicle,Sedan,,,,2021-04-05 16:21:00,16,Monday,4,1505      PARK AVENUE,"['Passing Too Closely', 'Unspecified']","['Station Wagon/Sport Utility Vehicle', 'Sedan']"
BROOKLYN,11201,40.694794,-73.98246,"(40.694794, -73.98246)",PRINCE STREET,JOHNSON STREET,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unsafe Speed,Unspecified,,,4407548,Taxi,Sedan,Sedan,,,2021-04-14 10:40:00,10,Wednesday,4,PRINCE STREET_JOHNSON STREET,"['Failure to Yield Right-of-Way', 'Unsafe Speed', 'Unspecified']","['Taxi', 'Sedan', 'Sedan']"
BROOKLYN,11228,40.614063,-74.01393,"(40.614063, -74.01393)",86 STREET,13 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4407820,Trailer,Station Wagon/Sport Utility Vehicle,,,,2021-04-16 08:30:00,8,Friday,4,86 STREET_13 AVENUE,['Unspecified'],"['Trailer', 'Station Wagon/Sport Utility Vehicle']"
BROOKLYN,11211,40.715702,-73.95579,"(40.715702, -73.95579)",ROEBLING STREET,NORTH 6 STREET,1,0,0,0,1,0,0,0,View Obstructed/Limited,View Obstructed/Limited,,,,4456635,Sedan,Bike,,,,2021-07-08 16:45:00,16,Thursday,7,ROEBLING STREET_NORTH 6 STREET,['View Obstructed/Limited'],"['Sedan', 'Bike']"
BROOKLYN,11218,40.633152,-73.97762,"(40.633152, -73.97762)",AVENUE F,MC DONALD AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4408150,Sedan,Bike,,,,2021-04-16 18:50:00,18,Friday,4,AVENUE F_MC DONALD AVENUE,['Unspecified'],"['Sedan', 'Bike']"
BROOKLYN,11228,40.612736,-74.01172,"(40.612736, -74.01172)",14 AVENUE,86 STREET,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4407842,Sedan,Sedan,,,,2021-04-16 15:23:00,15,Friday,4,14 AVENUE_86 STREET,"['Following Too Closely', 'Unspecified']","['Sedan', 'Sedan']"
BROOKLYN,11249,40.70166,-73.961464,"(40.70166, -73.961464)",WILLIAMSBURG STREET WEST,WYTHE AVENUE,2,0,0,0,0,0,2,0,Pavement Slippery,Unspecified,,,,4407673,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2021-04-15 17:55:00,17,Thursday,4,WILLIAMSBURG STREET WEST_WYTHE AVENUE,"['Pavement Slippery', 'Unspecified']","['Station Wagon/Sport Utility Vehicle', 'Station Wagon/Sport Utility Vehicle']"
MANHATTAN,10035,40.80641,-73.94227,"(40.80641, -73.94227)",EAST 125 STREET,5 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4407278,Taxi,Sedan,,,,2021-04-14 00:42:00,0,Wednesday,4,EAST 125 STREET_5 AVENUE,['Unspecified'],"['Taxi', 'Sedan']"
MANHATTAN,10019,40.762234,-73.98987,"(40.762234, -73.98987)",WEST 48 STREET,9 AVENUE,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4407459,Van,,,,,2021-04-14 12:30:00,12,Wednesday,4,WEST 48 STREET_9 AVENUE,['Driver Inattention/Distraction'],['Van']
BRONX,10458,40.863647,-73.8918,"(40.863647, -73.8918)",EAST 193 STREET,MARION AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4407514,Bus,,,,,2021-04-15 08:30:00,8,Thursday,4,EAST 193 STREET_MARION AVENUE,['Unspecified'],['Bus']
BROOKLYN,11224,40.576626,-73.98478,"(40.576626, -73.98478)",MERMAID AVENUE,WEST 17 STREET,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4408367,Sedan,Sedan,,,,2021-04-15 18:36:00,18,Thursday,4,MERMAID AVENUE_WEST 17 STREET,"['Driver Inattention/Distraction', 'Unspecified']","['Sedan', 'Sedan']"
BROOKLYN,11214,40.60118,-73.99098,"(40.60118, -73.99098)",85 STREET,23 AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4407313,Sedan,Sedan,,,,2021-04-14 13:45:00,13,Wednesday,4,85 STREET_23 AVENUE,"['Driver Inattention/Distraction', 'Unspecified']","['Sedan', 'Sedan']"
BROOKLYN,11220,40.64721,-74.01531,"(40.64721, -74.01531)",51 STREET,3 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4407396,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2021-04-14 19:46:00,19,Wednesday,4,51 STREET_3 AVENUE,['Unspecified'],"['Station Wagon/Sport Utility Vehicle', 'Station Wagon/Sport Utility Vehicle']"
,,,,,VERRAZANO BRIDGE UPPER,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4407883,Sedan,Box Truck,,,,2021-04-13 17:11:00,17,Tuesday,4,VERRAZANO BRIDGE UPPER,"['Following Too Closely', 'Unspecified']","['Sedan', 'Box Truck']"
,,40.681145,-73.7923,"(40.681145, -73.7923)",SUTPHIN BOULEVARD,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4407611,Sedan,Sedan,,,,2021-04-15 16:18:00,16,Thursday,4,SUTPHIN BOULEVARD,"['Unsafe Speed', 'Unspecified']","['Sedan', 'Sedan']"
BROOKLYN,11224,40.57529,-73.97655,"(40.57529, -73.97655)",SURF AVENUE,WEST 8 STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4408053,Station Wagon/Sport Utility Vehicle,,,,,2021-04-15 12:40:00,12,Thursday,4,SURF AVENUE_WEST 8 STREET,"['Backing Unsafely', 'Unspecified']",['Station Wagon/Sport Utility Vehicle']
,,40.786,-73.84574,"(40.786, -73.84574)",14 AVENUE,COLLEGE POINT BOULEVARD,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4407905,Sedan,Station Wagon/Sport Utility Vehicle,,,,2021-04-16 17:45:00,17,Friday,4,14 AVENUE_COLLEGE POINT BOULEVARD,"['Failure to Yield Right-of-Way', 'Unspecified']","['Sedan', 'Station Wagon/Sport Utility Vehicle']"
BROOKLYN,11214,40.601128,-73.997086,"(40.601128, -73.997086)",BENSON AVENUE,BAY 28 STREET,1,0,1,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,,4407642,Taxi,,,,,2021-04-15 20:00:00,20,Thursday,4,BENSON AVENUE_BAY 28 STREET,['Pedestrian/Bicyclist/Other Pedestrian Error/Confusion'],['Taxi']
,,40.827923,-73.93483,"(40.827923, -73.93483)",HARLEM RIVER DRIVE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4407556,Sedan,Sedan,,,,2021-04-15 11:45:00,11,Thursday,4,HARLEM RIVER DRIVE,"['Unsafe Lane Changing', 'Unspecified']","['Sedan', 'Sedan']"
MANHATTAN,10026,40.805824,-73.954636,"(40.805824, -73.954636)",,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4407774,Station Wagon/Sport Utility Vehicle,,,,,2021-04-05 16:27:00,16,Monday,4,301       WEST 118 STREET,['Unspecified'],['Station Wagon/Sport Utility Vehicle']
,,40.642776,-74.02003,"(40.642776, -74.02003)",3 AVENUE,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4407360,Sedan,Sedan,,,,2021-04-14 13:30:00,13,Wednesday,4,3 AVENUE,"['Passing or Lane Usage Improper', 'Unspecified']","['Sedan', 'Sedan']"
,,40.86674,-73.92873,"(40.86674, -73.92873)",PAYSON AVENUE,,1,0,0,0,0,0,1,0,Pavement Defective,,,,,4408139,Motorcycle,,,,,2021-04-14 18:56:00,18,Wednesday,4,PAYSON AVENUE,['Pavement Defective'],['Motorcycle']
,,,,,HYLAN BOULEVARD,STEUBEN STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4407848,Station Wagon/Sport Utility Vehicle,Box Truck,,,,2021-04-16 09:10:00,9,Friday,4,HYLAN BOULEVARD_STEUBEN STREET,['Unspecified'],"['Station Wagon/Sport Utility Vehicle', 'Box Truck']"
,,,,,QUEENSBORO BRIDGE UPPER,,0,0,0,0,0,0,0,0,Unspecified,,,,,4407401,Station Wagon/Sport Utility Vehicle,,,,,2021-04-15 01:30:00,1,Thursday,4,QUEENSBORO BRIDGE UPPER,['Unspecified'],['Station Wagon/Sport Utility Vehicle']
,,40.571625,-74.11192,"(40.571625, -74.11192)",NEW DORP LANE,CLAWSON STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4485464,Sedan,Station Wagon/Sport Utility Vehicle,,,,2021-12-10 12:15:00,12,Friday,12,NEW DORP LANE_CLAWSON STREET,"['Backing Unsafely', 'Unspecified']","['Sedan', 'Station Wagon/Sport Utility Vehicle']"
,,40.678375,-73.9265,"(40.678375, -73.9265)",SUYDAM PLACE,,0,0,0,0,0,0,0,0,Other Lighting Defects,Unspecified,,,,4408223,Garbage or Refuse,Sedan,,,,2021-04-12 06:00:00,6,Monday,4,SUYDAM PLACE,"['Other Lighting Defects', 'Unspecified']","['Garbage or Refuse', 'Sedan']"
,,40.74209,-73.984985,"(40.74209, -73.984985)",EAST 26 STREET,,1,0,0,0,0,0,1,0,Unspecified,,,,,4408075,Station Wagon/Sport Utility Vehicle,,,,,2021-04-14 19:50:00,19,Wednesday,4,EAST 26 STREET,['Unspecified'],['Station Wagon/Sport Utility Vehicle']
BRONX,10455,40.81228,-73.90941,"(40.81228, -73.90941)",,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4407967,Sedan,Taxi,,,,2021-04-16 11:30:00,11,Friday,4,508       JACKSON AVENUE,['Unspecified'],"['Sedan', 'Taxi']"
,,40.604195,-73.97218,"(40.604195, -73.97218)",MC DONALD AVENUE,,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,,,,,4407875,Pick-up Truck,,,,,2021-04-16 23:45:00,23,Friday,4,MC DONALD AVENUE,['Reaction to Uninvolved Vehicle'],['Pick-up Truck']
BRONX,10460,40.84383,-73.886375,"(40.84383, -73.886375)",,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4407915,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2021-04-11 18:45:00,18,Sunday,4,1988      MARMION AVENUE,"['Driver Inattention/Distraction', 'Unspecified']","['Station Wagon/Sport Utility Vehicle', 'Station Wagon/Sport Utility Vehicle']"
,,40.759163,-73.988396,"(40.759163, -73.988396)",8 AVENUE,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4408258,Sedan,Bike,,,,2021-04-16 08:30:00,8,Friday,4,8 AVENUE,"['Failure to Yield Right-of-Way', 'Unspecified']","['Sedan', 'Bike']"
BROOKLYN,11226,40.652927,-73.959335,"(40.652927, -73.959335)",FLATBUSH AVENUE,CATON AVENUE,1,0,1,0,0,0,0,0,Unspecified,,,,,4408033,,,,,,2021-04-15 19:39:00,19,Thursday,4,FLATBUSH AVENUE_CATON AVENUE,['Unspecified'],[]
BROOKLYN,11216,40.69097,-73.94833,"(40.69097, -73.94833)",MARCY AVENUE,KOSCIUSZKO STREET,2,0,0,0,0,0,2,0,Following Too Closely,Turning Improperly,,,,4408308,Sedan,Station Wagon/Sport Utility Vehicle,,,,2021-04-14 21:00:00,21,Wednesday,4,MARCY AVENUE_KOSCIUSZKO STREET,"['Following Too Closely', 'Turning Improperly']","['Sedan', 'Station Wagon/Sport Utility Vehicle']"
,,40.718864,-73.97483,"(40.718864, -73.97483)",FDR DRIVE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4407869,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,2021-04-16 19:00:00,19,Friday,4,FDR DRIVE,['Unspecified'],"['Station Wagon/Sport Utility Vehicle', 'Station Wagon/Sport Utility Vehicle']"
BROOKLYN,11208,40.683174,-73.87389,"(40.683174, -73.87389)",,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4407732,Van,Sedan,,,,2021-04-15 23:30:00,23,Thursday,4,3289      FULTON STREET,"['Driver Inattention/Distraction', 'Unspecified']","['Van', 'Sedan']"
,,,,,BRUCKNER BOULEVARD,EAST 135 STREET,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4407684,Sedan,,,,,2021-04-15 17:11:00,17,Thursday,4,BRUCKNER BOULEVARD_EAST 135 STREET,['Driver Inattention/Distraction'],['Sedan']
QUEENS,11372,40.749744,-73.884315,"(40.749744, -73.884315)",37 AVENUE,82 STREET,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,,,,,4407602,Box Truck,,,,,2021-04-15 02:00:00,2,Thursday,4,37 AVENUE_82 STREET,['Passing or Lane Usage Improper'],['Box Truck']
MANHATTAN,10010,40.738316,-73.98773,"(40.738316, -73.98773)",EAST 20 STREET,PARK AVENUE SOUTH,0,0,0,0,0,0,0,0,Unspecified,,,,,4407959,Taxi,,,,,2021-04-16 19:54:00,19,Friday,4,EAST 20 STREET_PARK AVENUE SOUTH,['Unspecified'],['Taxi']
BRONX,10461,40.839382,-73.84531,"(40.839382, -73.84531)",,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4408397,Sedan,Pick-up Truck,,,,2021-04-08 09:21:00,9,Thursday,4,2507      TRATMAN AVENUE,['Unspecified'],"['Sedan', 'Pick-up Truck']"
BROOKLYN,11212,40.66806,-73.90394,"(40.66806, -73.90394)",,,0,0,0,0,0,0,0,0,Unspecified,,,,,4408067,Sedan,,,,,2021-04-16 09:50:00,9,Friday,4,414       SUTTER AVENUE,['Unspecified'],['Sedan']
,,40.74715,-73.985504,"(40.74715, -73.985504)",WEST 32 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4408279,Station Wagon/Sport Utility Vehicle,Box Truck,,,,2021-04-16 12:10:00,12,Friday,4,WEST 32 STREET,"['Driver Inattention/Distraction', 'Unspecified']","['Station Wagon/Sport Utility Vehicle', 'Box Truck']"
